GeNeG_resource,Wikidata_resource,Matched_label
http://geneg.net/resource/Neuss,https://www.wikidata.org/wiki/Q2948,Neuss
http://geneg.net/resource/Alexandria_Ocasio-Cortez,https://www.wikidata.org/wiki/Q55223040,Alexandria_Ocasio-Cortez
http://geneg.net/resource/Flint,https://www.wikidata.org/wiki/Q490584,Flint
http://geneg.net/resource/Gemeinschaft_Unabhängiger_Staaten,https://www.wikidata.org/wiki/Q7779,Gemeinschaft_Unabhängiger_Staaten
http://geneg.net/resource/Gemeinsam_Retten,https://www.wikidata.org/wiki/Q80115645,Gemeinsam_Retten
http://geneg.net/resource/Journal,https://www.wikidata.org/wiki/Q49850,Journal
http://geneg.net/resource/Armin_Laschet,https://www.wikidata.org/wiki/Q78205,Armin_Laschet
http://geneg.net/resource/Wirecard,https://www.wikidata.org/wiki/Q587325,Wirecard
http://geneg.net/resource/Turin,https://www.wikidata.org/wiki/Q495,Turin
http://geneg.net/resource/Karine_Tuil,https://www.wikidata.org/wiki/Q3193319,Karine_Tuil
http://geneg.net/resource/Starbucks,https://www.wikidata.org/wiki/Q37158,Starbucks
http://geneg.net/resource/Deutsche,https://www.wikidata.org/wiki/Q42884,Deutsche
http://geneg.net/resource/König,https://www.wikidata.org/wiki/Q12097,König
http://geneg.net/resource/O'Rourke,https://www.wikidata.org/wiki/Q28800758,O'Rourke
http://geneg.net/resource/Thierry_Meyssan,https://www.wikidata.org/wiki/Q732928,Thierry_Meyssan
http://geneg.net/resource/Abbott,https://www.wikidata.org/wiki/Q306757,Abbott
http://geneg.net/resource/Pro_Asyl,https://www.wikidata.org/wiki/Q2111410,Pro_Asyl
http://geneg.net/resource/Stockholm,https://www.wikidata.org/wiki/Q1754,Stockholm
http://geneg.net/resource/Meseberg,https://www.wikidata.org/wiki/Q684703,Meseberg
http://geneg.net/resource/Deutschland,https://www.wikidata.org/wiki/Q183,Deutschland
http://geneg.net/resource/Chevrolet,https://www.wikidata.org/wiki/Q29570,Chevrolet
http://geneg.net/resource/Joachim_Kuhs,https://www.wikidata.org/wiki/Q64129385,Joachim_Kuhs
http://geneg.net/resource/Jens_Berger,https://www.wikidata.org/wiki/Q104817246,Jens_Berger
http://geneg.net/resource/Mailand,https://www.wikidata.org/wiki/Q490,Mailand
http://geneg.net/resource/Barry_Goldwater,https://www.wikidata.org/wiki/Q319129,Barry_Goldwater
http://geneg.net/resource/Paul_Ronzheimer,https://www.wikidata.org/wiki/Q47199975,Paul_Ronzheimer
http://geneg.net/resource/Chalifa_Haftar,https://www.wikidata.org/wiki/Q2298768,Chalifa_Haftar
http://geneg.net/resource/Wien,https://www.wikidata.org/wiki/Q1741,Wien
http://geneg.net/resource/Irak,https://www.wikidata.org/wiki/Q796,Irak
http://geneg.net/resource/De_Vries,https://www.wikidata.org/wiki/Q1180481,De_Vries
http://geneg.net/resource/Walter_Lübcke,https://www.wikidata.org/wiki/Q2545434,Walter_Lübcke
http://geneg.net/resource/So36,https://www.wikidata.org/wiki/Q561850,So36
http://geneg.net/resource/Freie_Syrische_Armee,https://www.wikidata.org/wiki/Q858819,Freie_Syrische_Armee
http://geneg.net/resource/Kairo,https://www.wikidata.org/wiki/Q85,Kairo
http://geneg.net/resource/Götz_Kubitschek,https://www.wikidata.org/wiki/Q1559892,Götz_Kubitschek
http://geneg.net/resource/Julian,https://www.wikidata.org/wiki/Q33941,Julian
http://geneg.net/resource/Walmart,https://www.wikidata.org/wiki/Q483551,Walmart
http://geneg.net/resource/Spanien,https://www.wikidata.org/wiki/Q29,Spanien
http://geneg.net/resource/Russenfeindlichkeit,https://www.wikidata.org/wiki/Q512990,Russenfeindlichkeit
http://geneg.net/resource/Der_Rechte_Rand,https://www.wikidata.org/wiki/Q1196416,Der_Rechte_Rand
http://geneg.net/resource/Katarina_Barley,https://www.wikidata.org/wiki/Q15117357,Katarina_Barley
http://geneg.net/resource/Heute-Journal,https://www.wikidata.org/wiki/Q885345,Heute-Journal
http://geneg.net/resource/Baschar_Al-Assad,https://www.wikidata.org/wiki/Q44329,Baschar_Al-Assad
http://geneg.net/resource/Eu,https://www.wikidata.org/wiki/Q211593,Eu
http://geneg.net/resource/Jupiter,https://www.wikidata.org/wiki/Q319,Jupiter
http://geneg.net/resource/Roma,https://www.wikidata.org/wiki/Q8060,Roma
http://geneg.net/resource/Wiesbaden,https://www.wikidata.org/wiki/Q1721,Wiesbaden
http://geneg.net/resource/M1,https://www.wikidata.org/wiki/Q1880894,M1
http://geneg.net/resource/Eni,https://www.wikidata.org/wiki/Q565594,Eni
