GeNeG_resource,other_GeNeG_resource_w_alias_len,Matching node,Matched_label
http://geneg.net/resource/Libysch-Nationalen_Armee,"[('http://geneg.net/resource/Libysche_Nationale_Armee', 1)]",http://geneg.net/resource/Libysche_Nationale_Armee,Libysche_Nationale_Armee
http://geneg.net/resource/FDP-Fraktionschef,"[('http://geneg.net/resource/Fpö-Fraktionschef', 1)]",http://geneg.net/resource/Fpö-Fraktionschef,Fpö-Fraktionschef
http://geneg.net/resource/Libyareview,"[('http://geneg.net/resource/Libyanreview', 1)]",http://geneg.net/resource/Libyanreview,Libyanreview
http://geneg.net/resource/Us-Abschieberegimes,"[('http://geneg.net/resource/Us-Abschieberegime', 1)]",http://geneg.net/resource/Us-Abschieberegime,Us-Abschieberegime
http://geneg.net/resource/Pro-Europäer,"[('http://geneg.net/resource/Pro-Europäern', 1)]",http://geneg.net/resource/Pro-Europäern,Pro-Europäern
http://geneg.net/resource/Dönermorde,"[('http://geneg.net/resource/Dönermorden', 1)]",http://geneg.net/resource/Dönermorden,Dönermorden
http://geneg.net/resource/Steinmeiers,"[('http://geneg.net/resource/Steinmeier', 1)]",http://geneg.net/resource/Steinmeier,Steinmeier
http://geneg.net/resource/Unionsabgeordnete,"[('http://geneg.net/resource/Unionsabgeordneter', 1)]",http://geneg.net/resource/Unionsabgeordneter,Unionsabgeordneter
http://geneg.net/resource/Rosenlieb,"[('http://geneg.net/resource/Rosenliebs', 1)]",http://geneg.net/resource/Rosenliebs,Rosenliebs
http://geneg.net/resource/Bergkarabach-Problems,"[('http://geneg.net/resource/Bergkarabach-Problem', 1)]",http://geneg.net/resource/Bergkarabach-Problem,Bergkarabach-Problem
http://geneg.net/resource/FDP-Spitzenkandidat,"[('http://geneg.net/resource/FDP-Spitzenkandidatin', 1)]",http://geneg.net/resource/FDP-Spitzenkandidatin,FDP-Spitzenkandidatin
http://geneg.net/resource/Merkelregimes,"[('http://geneg.net/resource/Merkel-Regimes', 1)]",http://geneg.net/resource/Merkel-Regimes,Merkel-Regimes
http://geneg.net/resource/Vera_Messing,"[('http://geneg.net/resource/Vera_messing', 1)]",http://geneg.net/resource/Vera_messing,Vera_messing
http://geneg.net/resource/Un-Agenda,"[('http://geneg.net/resource/Un_Agenda', 1)]",http://geneg.net/resource/Un_Agenda,Un_Agenda
http://geneg.net/resource/Bild”-Zeitung,"[('http://geneg.net/resource/Bild-Zeitung', 2)]",http://geneg.net/resource/Bild-Zeitung,Bild-Zeitung
http://geneg.net/resource/Sylvain_Crépon,"[('http://geneg.net/resource/Sylvain_Crepon', 1)]",http://geneg.net/resource/Sylvain_Crepon,Sylvain_Crepon
http://geneg.net/resource/Europa-Abgeordneter,"[('http://geneg.net/resource/Europa-Abgeordnete', 1)]",http://geneg.net/resource/Europa-Abgeordnete,Europa-Abgeordnete
http://geneg.net/resource/http://aldeilis.net/berlin/B737.pdf,"[('http://geneg.net/resource/http://aldeilis.net/berlin/B734.pdf', 3)]",http://geneg.net/resource/http://aldeilis.net/berlin/B734.pdf,http://aldeilis.net/berlin/B734.pdf
http://geneg.net/resource/Landesamtes,"[('http://geneg.net/resource/Landesamts', 1)]",http://geneg.net/resource/Landesamts,Landesamts
